WKT,SA22019_V1_00,SA22019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,Shape_X,Shape_Y
"POINT (1723782.3578 6043299.0857)",108100,Onerahi Park,1.99946704,1.99946704,-35.74654244408484,174.36900295492205,1723782.357789688,6043299.085716836,1723782.3578,6043299.0857
"POINT (1723128.3883 6043070.65595)",108200,Sherwood Rise,1.3064605,1.3064605,-35.74868353852758,174.36180712411365,1723128.38828516,6043070.655926032,1723128.3883,6043070.65595
"POINT (1723256.6714 6041128.35275)",108300,Onerahi,2.29351822,2.29351822,-35.766174904286004,174.3635243024037,1723256.6713767736,6041128.352732419,1723256.6714,6041128.35275
"POINT (1727489.06515 6037119.7558)",108400,Inlet Whangarei Harbour,0,103.01814821,-35.80176666373513,174.41097106427947,1727489.0651734953,6037119.755802445,1727489.06515,6037119.7558
"POINT (1729107.0078 6041727.92345)",108500,Parua Bay,39.09984571,39.09984571,-35.760019651895426,174.4281292970133,1729107.0078199746,6041727.9234616915,1729107.0078,6041727.92345
"POINT (1725003.1901 6024726.68845)",108600,Bream Bay,238.82165955,238.82165955,-35.913791509202255,174.38540879203808,1725003.190094269,6024726.688469124,1725003.1901,6024726.68845
"POINT (1731844.8079 6033890.73605)",108700,Marsden Bay,2.58676114,2.58676114,-35.83029539866299,174.45969670948455,1731844.8079235079,6033890.73605501,1731844.8079,6033890.73605
"POINT (1731546.05455 6028525.21685)",108800,Ruakaka,15.79852038,15.79852038,-35.87869623479452,174.45727497637378,1731546.0545277698,6028525.216830854,1731546.05455,6028525.21685
"POINT (1742003.2755 6032639.8002)",108900,Bream Head,52.18058425,52.18058425,-35.840151453679205,174.57235026933276,1742003.275524146,6032639.800190121,1742003.2755,6032639.8002
"POINT (1730708.43285 6011383.9752)",109000,Waipu,136.59511165,136.59511165,-36.03330446077539,174.45082152322843,1730708.4328367973,6011383.975194729,1730708.43285,6011383.9752
"POINT (1673588.71125 6022545.69905)",109100,Kaipara Coastal,1248.05567088,1248.05567088,-35.93867623097227,173.81585470502526,1673588.711256745,6022545.699026597,1673588.71125,6022545.69905
"POINT (1687641.0781 6029262.9279)",109200,Maungaru,691.97210274,691.97210274,-35.87696198730041,173.97089027189887,1687641.0780773223,6029262.927912191,1687641.0781,6029262.9279
"POINT (1678042.84975 6022449.13115)",109300,Dargaville,12.55873437,12.55873437,-35.93920102848372,173.86524090138028,1678042.8497382384,6022449.1311591435,1678042.84975,6022449.13115
"POINT (1703222.8313 6006039.0406)",109400,Ruawai-Matakohe,530.45109334,530.45109334,-36.084787002925154,174.1465011697057,1703222.8313100133,6006039.040591202,1703222.8313,6006039.0406
"POINT (1718473.32555 6002749.5817)",109500,Otamatea (Kaipara District),244.89159693,244.89159693,-36.11269625986523,174.31634606950044,1718473.3255509883,6002749.581697779,1718473.32555,6002749.5817
"POINT (1721231.7931 6003063.69105)",109600,Maungaturoto,21.59967479,21.59967479,-36.109524464824865,174.34693925762193,1721231.7931165057,6003063.69106883,1721231.7931,6003063.69105
"POINT (1727616.89515 5992773.15255)",109700,Kaiwaka,259.02430195,259.02430195,-36.20145400332017,174.4195325686723,1727616.8951288515,5992773.152531432,1727616.89515,5992773.15255
"POINT (1739097.8621 6001925.8368)",109800,Mangawhai Rural,91.18259719,91.18259719,-36.11738369067432,174.54557939470283,1739097.8620813368,6001925.8367881365,1739097.8621,6001925.8368
"POINT (1742603.39865 6004417.3299)",109900,Mangawhai Heads,6.98897326,6.98897326,-36.09442073603461,174.58406677531303,1742603.3986712152,6004417.329911307,1742603.39865,6004417.3299
"POINT (1742857.93885 6002571.5611)",110000,Inlet Mangawhai Harbour,0,5.86782347,-36.11101799046476,174.58722793054315,1742857.9388701643,6002571.561121572,1742857.93885,6002571.5611
"POINT (1741437.1635 6001331.7316)",110100,Mangawhai,1.99407383,1.99407383,-36.12239985562512,174.57167043682043,1741437.1635126795,6001331.731617347,1741437.1635,6001331.7316
"POINT (1725816.4442 5978147.9211)",110200,Okahukura Peninsula,211.1842049,211.1842049,-36.33350468835433,174.40186533694802,1725816.4441997665,5978147.921106518,1725816.4442,5978147.9211
"POINT (1718879.42365 5964937.14145)",110300,Inlet Kaipara Harbour South,0,391.72178452,-36.45345406998622,174.3266132950619,1718879.4236415979,5964937.14143027,1718879.42365,5964937.14145
